temperature,initial_feed_concentration,feed_cons_rate
864.0,0.0139204114632784,8.890611059853004e-06
866.0,0.0138882627070122,1.0071982050469108e-05
868.0,0.0138562621016965,1.1403101761453538e-05
870.0,0.0138244086256006,1.2901666228415376e-05
872.0,0.0137927012663676,1.4587743513150286e-05
874.0,0.0137611390209068,1.6484277831629868e-05
876.0,0.0137297208952883,1.8616354117984013e-05
878.0,0.0136984459046385,2.101112906924274e-05
880.0,0.013667313073037,2.370046712704688e-05
882.0,0.0136363214334156,2.6718498108424527e-05
884.0,0.0136054700274576,3.010389881819009e-05
886.0,0.0135747579054995,3.390032199401816e-05
888.0,0.0135441841264331,3.815403727333577e-05
890.0,0.0135137477576096,4.291886837246017e-05
892.0,0.013483447874745,4.8253428978212165e-05
894.0,0.0134532835618261,5.422278006803061e-05
896.0,0.0134232539110185,6.090003544859113e-05
898.0,0.0133933580225752,6.836534302209762e-05
900.0,0.0133635950047473,7.67082120739504e-05
902.0,0.0133339639736946,8.60275916475528e-05
904.0,0.0133044640533988,9.64335600955879e-05
906.0,0.0132750943755768,0.0001080474802683
908.0,0.0132458540795953,0.0001210044984177
910.0,0.0132167423123874,0.0001354535277692
912.0,0.013187758228369,0.0001515603437717
914.0,0.0131589009893573,0.0001695070404178
916.0,0.0131301697644897,0.0001894970489899
918.0,0.0131015637301444,0.0002117516112627
920.0,0.0130730820698615,0.000236521740804
922.0,0.0130447239742652,0.0002640769449641
924.0,0.0130164886409876,0.0002947200112256
926.0,0.0129883752745924,0.0003287840887912
928.0,0.0129603830865006,0.0003666357456869
930.0,0.0129325112949167,0.0004086803123172
932.0,0.012904759124756,0.0004553646695652
934.0,0.0128771258075723,0.0005071798970385
936.0,0.0128496105814878,0.0005646691423645
938.0,0.0128222126911221,0.0006284282845492
940.0,0.012794931387524,0.0006991143734758
942.0,0.0127677659281025,0.0007774501576199
944.0,0.0127407155765599,0.0008642284406862
946.0,0.0127137796028251,0.0009603227325502
948.0,0.0126869572829879,0.0010666908013649
950.0,0.0126602478992343,0.001184384097342
952.0,0.0126336507397821,0.0013145560628924
954.0,0.0126071650988182,0.0014584714511968
956.0,0.0125807902764357,0.0016175162751048
958.0,0.0125545255785726,0.0017932056546772
960.0,0.0125283703169506,0.001987201522155
962.0,0.0125023238090151,0.0022013171106435
964.0,0.0124763853778761,0.0024375364095913
966.0,0.012450554352249,0.0026980234575472
968.0,0.0124248300663973,0.0029851404857901
970.0,0.0123992118600748,0.0033014621090426
972.0,0.0123736990784697,0.0036497923634228
974.0,0.0123482910721484,0.0040331827318509
976.0,0.0123229871970006,0.0044549518832953
978.0,0.0122977868141846,0.0049187026039676
980.0,0.012272689290074,0.0054283467557612
982.0,0.0122476939962042,0.0059881242321126
984.0,0.0122228003092201,0.0066026267662305
986.0,0.0121980076108241,0.0072768218713908
988.0,0.0121733152877253,0.0080160783929271
990.0,0.0121487227315884,0.0088261918144115
992.0,0.0121242293389844,0.0097134099143539
994.0,0.0120998345113406,0.0106844623253173
996.0,0.0120755376548921,0.0117465864524039
998.0,0.0120513381806338,0.0129075585905691
1000.0,0.0120272355042726,0.0141757222405641
1002.0,0.0120032290461802,0.0155600177404249
1004.0,0.0119793182313472,0.0170700140143635
1006.0,0.0119555024893365,0.0187159382962313
1008.0,0.0119317812542386,0.0205087088712974
1010.0,0.0119081539646263,0.0224599638263059
1012.0,0.0118846200635104,0.0245820947860665
1014.0,0.0118611789982964,0.0268882794402652
1016.0,0.0118378302207407,0.02939251122153
1018.0,0.0118145731869082,0.0321096326015742
1020.0,0.01179140735713,0.0350553669558467
1022.0,0.0117683321959614,0.0382463526255906
1024.0,0.0117453471721412,0.0417001751687289
1026.0,0.0117224517585502,0.0454353989967973
1028.0,0.0116996454321717,0.0494716072639914
1030.0,0.011676927674051,0.0538294266243591
1032.0,0.0116542979692563,0.0585305756017374
1034.0,0.01163175580684,0.0635978946720086
1036.0,0.0116093006797998,0.0690553849424374
1038.0,0.011586932085041,0.0749282498709036
1040.0,0.011564649523339,0.0812429381387598
1042.0,0.0115424524993019,0.0880271891954415
1044.0,0.0115203405213339,0.0953100758384513
1046.0,0.011498313101599,0.103122057625981
1048.0,0.0114763697559853,0.111495030639952
1050.0,0.0114545100040691,0.1204623825140464
1052.0,0.0114327333690804,0.1300590523585672
1054.0,0.0114110393778677,0.1403215837596227
1056.0,0.0113894275608642,0.1512881961739098
1058.0,0.0113678974520535,0.1629988443252808
1060.0,0.0113464485889364,0.1754952969079508
1062.0,0.0113250805124977,0.1888211862493063
1064.0,0.0113037927671734,0.20302210366906
1066.0,0.0112825849008185,0.2181456607960874
1068.0,0.0112614564646747,0.2342415700886009
1070.0,0.0112404070133388,0.2513617192152415
1072.0,0.0112194361047319,0.2695602501600821
1074.0,0.0111985433000676,0.2888936320341768
1076.0,0.0111777281638221,0.3094207545734084
1078.0,0.0111569902637037,0.331202982920848
1080.0,0.0111363291706227,0.3543042370849312
1082.0,0.0111157444586622,0.3787910839748824
1084.0,0.0110952357050485,0.4047327842197912
1086.0,0.0110748024901221,0.4322013692852761
1088.0,0.0110544443973093,0.4612717042194389
1090.0,0.0110341610130941,0.4920215427943464
1092.0,0.0110139519269895,0.5245315813644409
1094.0,0.0109938167315106,0.5588855143711865
1096.0,0.0109737550221465,0.5951700692010536
1098.0,0.0109537663973338,0.6334750233081589
1100.0,0.0109338504584296,0.6738932606446812
