tem,inion,fate
878.0,0.0410953377139155,0.0001027149642424
880.0,0.0410019392191111,0.0001162057237241
882.0,0.0409089643002469,0.0001313949626879
884.0,0.040816410082373,0.0001484786132238
886.0,0.0407242737164986,0.0001676847539988
888.0,0.0406325523792993,0.0001892668075043
890.0,0.040541243272829,0.0002135022404009
892.0,0.0404503436242352,0.0002407074060212
894.0,0.0403598506854785,0.0002712249116271
896.0,0.0402697617330555,0.0003054454538603
898.0,0.0401800740677258,0.000343798045102
900.0,0.040090785014242,0.0003867544777491
902.0,0.040001891921084,0.0004348503770956
904.0,0.0399133921601966,0.000488670236845
906.0,0.0398252831267304,0.0005488594131963
908.0,0.0397375622387861,0.0006161450702424
910.0,0.0396502269371624,0.0006913263954355
912.0,0.0395632746851072,0.0007752815309181
914.0,0.039476702968072,0.000868992872105
916.0,0.0393905092934692,0.0009735430103741
918.0,0.0393046911904333,0.0010901229177684
920.0,0.0392192462095845,0.0012200496057879
922.0,0.0391341719227958,0.0013647850033438
924.0,0.0390494659229629,0.001525922168899
926.0,0.0389651258237773,0.001705249348255
928.0,0.0388811492595019,0.0019046942396905
930.0,0.0387975338847503,0.0021264066052406
932.0,0.038714277374268,0.0023727416863933
934.0,0.0386313774227171,0.0026462862158516
936.0,0.0385488317444634,0.0029498823818363
938.0,0.0384666380733665,0.003286645172823
940.0,0.0383847941625721,0.0036599785031843
942.0,0.0383032977843076,0.0040736267210156
944.0,0.0382221467296798,0.0045316736247552
946.0,0.0381413388084754,0.0050385813551989
948.0,0.0380608718489639,0.0055992216379391
950.0,0.0379807436977029,0.0062189036334481
952.0,0.0379009522193464,0.0069034146532587
954.0,0.0378214952964547,0.0076590406856286
956.0,0.0377423708293073,0.0084926182366412
958.0,0.0376635767357179,0.0094115688750034
960.0,0.0375851109508518,0.0104239178781023
962.0,0.0375069714270455,0.0115383766241539
964.0,0.0374291561336284,0.0127643504759661
966.0,0.0373516630567472,0.0141119876890388
968.0,0.0372744901991919,0.0155922360539628
970.0,0.0371976355802245,0.0172168772887004
972.0,0.0371210972354092,0.0189985824049915
974.0,0.0370448732164453,0.0209509499889126
976.0,0.0369689615910018,0.0230885629252247
978.0,0.0368933604425539,0.0254270292539965
980.0,0.0368180678702222,0.0279830470387848
982.0,0.0367430819886128,0.0307744233720569
984.0,0.0366684009276603,0.0338201593264725
986.0,0.0365940228324724,0.0371404891809368
988.0,0.0365199458631759,0.040756925586069
990.0,0.0364461681947654,0.0446923254428938
992.0,0.0363726880169534,0.0489709306947944
994.0,0.0362995035340219,0.0536184562017344
996.0,0.0362266129646765,0.058662110707236
998.0,0.0361540145419016,0.0641306887314008
1000.0,0.0360817065128178,0.0700546240139932
1002.0,0.0360096871385407,0.0764660607066591
1004.0,0.0359379546940416,0.0833989346917668
1006.0,0.0358665074680097,0.0908890434320186
1008.0,0.035795343762716,0.0989741343919436
1010.0,0.035724461893879,0.1076940024132
1012.0,0.0356538601905314,0.1170905727809062
1014.0,0.0355835369948893,0.1272080240742601
1016.0,0.0355134906622222,0.1380928842569656
1018.0,0.0354437195607247,0.1497941570987454
1020.0,0.03537422207139,0.1623634510955485
1022.0,0.0353049965878843,0.1758551128036578
1024.0,0.0352360415164236,0.1903263683264433
1026.0,0.0351673552756508,0.2058374831515053
1028.0,0.0350989362965153,0.2224519131285157
1030.0,0.0350307830221532,0.240236477751024
1032.0,0.0349628939077691,0.2592615372662421
1034.0,0.0348952674205201,0.2796011664160658
1036.0,0.0348279020393994,0.3013333561381615
1038.0,0.0347607962551231,0.3245402028684979
1040.0,0.0346939485700171,0.3493081050426339
1042.0,0.0346273574979057,0.3757280027986975
1044.0,0.0345610215640017,0.4038955302650138
1046.0,0.0344949393047971,0.4339112929561961
1048.0,0.0344291092679559,0.4658810648151823
1050.0,0.0343635300122074,0.4999160085334547
1052.0,0.0342982001072412,0.5361329055533076
1054.0,0.0342331181336032,0.5746543996831832
1056.0,0.0341682826825926,0.6156091977584099
1058.0,0.0341036923561605,0.659132344468516
1060.0,0.0340393457668092,0.7053654374404583
1062.0,0.0339752415374932,0.7544568401281898
1064.0,0.0339113783015204,0.806561954249177
1066.0,0.0338477547024557,0.8618434177602718
1068.0,0.0337843693940241,0.9204713624583194
1070.0,0.0337212210400166,0.9826236191348704
1072.0,0.0336583083141957,1.0484859592480715
1074.0,0.0335956299002028,1.118252295506661
1076.0,0.0335331844914663,1.1921249132180316
1078.0,0.0334709707911111,1.2703146620300645
1080.0,0.0334089875118683,1.3530411711992762
1082.0,0.0333472333759868,1.440533004150868
1084.0,0.0332857071151455,1.5330278752982012
1086.0,0.0332244074703663,1.6307727820671911
1088.0,0.0331633331919281,1.7340241723604737
1090.0,0.0331024830392824,1.843048039247147
1092.0,0.0330418557809686,1.9581200890972368
1094.0,0.0329814501945318,2.0795257745212514
1096.0,0.0329212650664396,2.2075603764772773
1098.0,0.0328612991920016,2.342529052210621
1100.0,0.0328015513752889,2.48474681874139
1102.0,0.0327420204290542,2.634538550212867
1104.0,0.0326827051746538,2.7922388888080434
1106.0,0.032623604441969,2.9581921609889843
1108.0,0.0325647170693301,3.1327522119650038
1110.0,0.0325060419034394,3.31628222434141
1112.0,0.0324475777992965,3.509154510740742
1114.0,0.0323893236201237,3.7117501439855314
