tem,inion,fate
864.0,0.0139204114632784,1.4069379446202124e-05
866.0,0.0138882627070122,1.604726782011845e-05
868.0,0.0138562621016965,1.8293332994245848e-05
870.0,0.0138244086256006,2.084298430030107e-05
872.0,0.0137927012663676,2.37357484361711e-05
874.0,0.0137611390209068,2.701758804526944e-05
876.0,0.0137297208952883,3.073853673332683e-05
878.0,0.0136984459046385,3.495595254227046e-05
880.0,0.013667313073037,3.973474620513895e-05
882.0,0.0136363214334156,4.514764237809055e-05
884.0,0.0136054700274576,5.127718787772961e-05
886.0,0.0135747579054995,5.821581062701031e-05
888.0,0.0135441841264331,6.606828048191793e-05
890.0,0.0135137477576096,7.495151718023285e-05
892.0,0.013483447874745,8.499857040433767e-05
894.0,0.0134532835618261,9.635877252361924e-05
896.0,0.0134232539110185,0.0001092002568578
898.0,0.0133933580225752,0.0001237117939166
900.0,0.0133635950047473,0.0001401062555209
902.0,0.0133339639736946,0.0001586229887544
904.0,0.0133044640533988,0.0001795310271279
906.0,0.0132750943755768,0.0002031328077793
908.0,0.0132458540795953,0.0002297679497532
910.0,0.0132167423123874,0.0002598184214476
912.0,0.013187758228369,0.0002937123704319
914.0,0.0131589009893573,0.0003319310967926
916.0,0.0131301697644897,0.0003750145664838
918.0,0.0131015637301444,0.0004235665354047
920.0,0.0130730820698615,0.0004782667955074
922.0,0.0130447239742652,0.0005398750174342
924.0,0.0130164886409876,0.0006092421253947
926.0,0.0129883752745924,0.0006873216484327
928.0,0.0129603830865006,0.0007751795086906
930.0,0.0129325112949167,0.0008740084977976
932.0,0.012904759124756,0.0009851411287599
934.0,0.0128771258075723,0.0011100673553803
936.0,0.0128496105814878,0.001250448802767
938.0,0.0128222126911221,0.0014081418061272
940.0,0.012794931387524,0.0015852155381933
942.0,0.0127677659281025,0.0017839763519385
944.0,0.0127407155765599,0.0020069936849768
946.0,0.0127137796028251,0.0022571275757991
948.0,0.0126869572829879,0.00253755911667
950.0,0.0126602478992343,0.0028518249231557
952.0,0.0126336507397821,0.0032038537555768
954.0,0.0126071650988182,0.0035980063872211
